SESSION_KEY,SESSION_DATE,MEMBER_KEY,FLAG_FIRST_TIME_VISITOR,FLAG_FIRST_TIME_BUYER,PROBABILITY_TO_TRANSACT,PREDICTED_POINTS_PURCHASED,PREDICTED_PRICE_PER_POINT,OFFER_RICHNESS_SERVED,FLAG_TRANSACTION,OFFER_RICHNESS_APPLIED,POINTS_PURCHASED,PRICE_PER_POINT,CURRENT_BALANCE,DAYS_SINCE_LAST_PURCHASE_L12M,COUNT_TRANX_L12M,LAST_OFFER_RICHNESS_SERVED_ON_PURCHASE_L12M,OFFER_RICHNESS_APPLIED_ON_LAST_PURCHASE_L12M,POINTS_PURCHASED_LAST_TRANX_L12M,DAYS_SINCE_LAST_VISIT_NO_PURCHASE
67cefa5c-a6c7-43ce-abd7-dce586b5f99b,2024-09-02 13:14:16.000,-222482577023600412,0,1,0.48421613271013497,9529.24588917105,0.015511061661542124,0.50,0,-1.0,0.0,-1.0,4050,9999,0,-1.0,-1.0,0.0,48
d845893d-c342-4866-b7f8-e5a3166aaf5e,2024-09-02 13:14:35.000,3695067032008358877,1,1,0.41097550785737536,9618.224285953498,0.01576218685335474,0.45,0,-1.0,0.0,-1.0,7461,9999,0,-1.0,-1.0,0.0,9999
6031757c-1a40-41b2-a1b9-b523126fdef5,2024-09-02 13:15:03.000,-5974069891285507805,0,1,0.45880984681746906,9406.456558626842,0.01607650492548144,0.45,0,-1.0,0.0,-1.0,390,9999,0,-1.0,-1.0,0.0,2
66b49730-cefc-4f06-8a7c-8a1b7cdba54f,2024-09-02 13:15:29.000,-8790791914972898951,0,0,0.8212088035474326,10701.239101544004,0.01603165057063835,0.50,1,0.5,13000.0,0.015,13436,9999,0,-1.0,-1.0,0.0,9999
96aa89c0-3b79-4246-92ad-48705e6da896,2024-09-02 13:15:46.000,3023107806226208528,0,0,0.602512511473724,9957.309145181507,0.015629225215376005,0.50,1,0.5,6000.0,0.015,22940,9999,0,-1.0,-1.0,0.0,9999
7fa03875-168f-440a-abc4-db0381f7f695,2024-09-02 13:15:49.000,4358846075051524920,1,1,0.5026653283899676,9579.435607249992,0.01574044329010605,0.45,0,-1.0,0.0,-1.0,9232,9999,0,-1.0,-1.0,0.0,9999
e8f8036b-1419-40b1-9628-0d65526265ce,2024-09-02 13:16:52.000,533833527606192466,1,1,0.5268234927608675,9415.508184352962,0.015748460536088044,0.45,0,-1.0,0.0,-1.0,8092,9999,0,-1.0,-1.0,0.0,9999
55f8c165-d40d-4ebd-97a5-f613b0bc3622,2024-09-02 13:17:08.000,-4232615651405626476,1,1,0.6284888118325772,11955.384202848214,0.015844704719092027,0.50,0,-1.0,0.0,-1.0,41564,9999,0,-1.0,-1.0,0.0,9999
33621437-c980-494e-b1d8-bb90fb5a61e6,2024-09-02 13:17:40.000,-6931347263173447696,1,1,0.556779817552723,10601.099880518555,0.015711199189747,0.50,0,-1.0,0.0,-1.0,32160,9999,0,-1.0,-1.0,0.0,9999
981d8028-eff0-478e-a6ae-03e537a93ada,2024-09-02 13:17:42.000,3116720348187342273,0,0,0.7246815919192193,9392.190271926302,0.015766085121802026,0.50,1,0.5,6000.0,0.015,47616,68,1,0.5,0.0,3000.0,9999
